transaction_id,customer_id,age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud
TXN-100090,CUST-1123,46,Credit,Transfer,Groceries,165.16,10343.72,10178.56,10,New York,Mobile App,UPI / Wallet,0,0
TXN-100071,CUST-1258,41,Credit,Payment,Groceries,715.28,9382.44,8817.16,12,Mumbai,Mobile App,Debit Card,1,1
TXN-100080,CUST-1311,43,Credit,Transfer,Groceries,149.05,12386.98,12237.93,10,New York,POS Terminal,UPI / Wallet,0,0
TXN-100009,CUST-1299,45,Credit,Transfer,Groceries,151.72,11159.12,11007.4,11,New York,Mobile App,Debit Card,0,0
TXN-100061,CUST-1435,45,Credit,Transfer,Groceries,152.92,12457.13,12304.21,12,New York,POS Terminal,Debit Card,0,0
TXN-100082,CUST-1121,47,Credit,Payment,Groceries,768.75,12902.52,12133.77,12,New York,POS Terminal,UPI / Wallet,1,1
TXN-100008,CUST-1272,52,Savings,Transfer,Retail,198.28,17746.64,17548.36,14,Singapore,POS Terminal,UPI / Wallet,0,0
TXN-100040,CUST-1057,44,Credit,Payment,Groceries,169.57,10669.64,10500.07,10,New York,Mobile App,Debit Card,0,0
TXN-100059,CUST-1013,52,Savings,Transfer,Retail,134.95,17327.78,17192.83,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-100081,CUST-1156,49,Credit,Transfer,Groceries,219.18,11456.89,11237.71,11,New York,Mobile App,Debit Card,0,0
TXN-100087,CUST-1144,42,Credit,Payment,Groceries,153.37,10477.42,10324.05,11,Mumbai,Mobile App,Debit Card,0,0
TXN-100027,CUST-1422,39,Checking,Payment,Groceries,114.69,8285.49,8170.8,9,Mumbai,Mobile App,Debit Card,0,0
TXN-100028,CUST-1334,51,Credit,Transfer,Retail,165.56,14563.26,14397.7,13,New York,POS Terminal,UPI / Wallet,0,0
TXN-100049,CUST-1369,46,Credit,Transfer,Groceries,165.54,12877.42,12711.88,11,New York,POS Terminal,Debit Card,0,0
TXN-100064,CUST-1464,44,Credit,Payment,Groceries,155.21,12215.09,12059.88,11,New York,Mobile App,Debit Card,0,0
TXN-100066,CUST-1023,44,Checking,Payment,Groceries,90.12,10023.76,9933.64,10,Mumbai,Mobile App,Debit Card,0,0
TXN-100036,CUST-1338,43,Credit,Payment,Groceries,123.88,9950.7,9826.82,11,New York,Mobile App,Debit Card,0,0
TXN-100003,CUST-1194,42,Credit,Payment,Groceries,164.58,9117.16,9102.58,11,New York,Mobile App,Debit Card,0,0
TXN-100002,CUST-1373,48,Credit,Transfer,Retail,210.18,14525.9,14315.72,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-100097,CUST-1013,46,Credit,Transfer,Retail,122.48,15031.61,14909.13,10,Singapore,POS Terminal,UPI / Wallet,0,0
TXN-100047,CUST-1095,49,Credit,Transfer,Retail,157.45,12469.92,12312.47,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-100062,CUST-1025,42,Credit,Payment,Groceries,128.89,9999.53,9870.64,10,Mumbai,Mobile App,Debit Card,0,0
TXN-100035,CUST-1130,50,Credit,Transfer,Retail,151.96,14041.06,13889.1,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-100023,CUST-1132,49,Credit,Payment,Retail,100.2,12930.03,12829.83,13,New York,POS Terminal,Debit Card,0,0
TXN-100025,CUST-1413,43,Credit,Payment,Groceries,171.48,9749.03,9577.55,11,New York,Mobile App,Debit Card,0,0
TXN-100067,CUST-1061,46,Credit,Payment,Groceries,130.05,12464.08,12334.03,12,New York,Mobile App,UPI / Wallet,0,0
TXN-100026,CUST-1112,46,Credit,Transfer,Groceries,110.36,10761.01,10650.65,11,New York,Mobile App,Debit Card,0,0
TXN-100001,CUST-1031,50,Credit,Transfer,Retail,136.57,15642.41,15505.84,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-100013,CUST-1300,43,Credit,Transfer,Groceries,135.17,12608.43,12473.26,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-100038,CUST-1022,46,Credit,Transfer,Groceries,131.46,11872.12,11740.66,11,New York,POS Terminal,Debit Card,0,0
TXN-100098,CUST-1244,43,Credit,Payment,Groceries,135.98,11728.34,11592.36,11,New York,Mobile App,Debit Card,0,0
TXN-100096,CUST-1498,45,Credit,Transfer,Groceries,109.61,11645.09,11535.48,11,New York,Mobile App,Debit Card,0,0
TXN-100031,CUST-1041,43,Credit,Payment,Groceries,145.64,11630.65,11485.01,10,Mumbai,Mobile App,Debit Card,0,0
TXN-100092,CUST-1140,47,Credit,Transfer,Retail,854.12,14736.49,14032.37,12,New York,POS Terminal,UPI / Wallet,1,1
TXN-100007,CUST-1493,50,Credit,Transfer,Groceries,138.25,12314.25,12176.0,10,New York,POS Terminal,UPI / Wallet,0,0
TXN-100030,CUST-1199,44,Credit,Payment,Groceries,146.32,10852.56,10706.24,10,New York,Mobile App,Debit Card,0,0
TXN-100014,CUST-1266,44,Credit,Payment,Groceries,567.62,12621.18,12053.56,12,New York,Mobile App,Debit Card,1,1
TXN-100033,CUST-1313,50,Credit,Transfer,Retail,136.41,13147.32,13010.91,11,Singapore,POS Terminal,UPI / Wallet,0,0
TXN-100032,CUST-1327,56,Credit,Transfer,Retail,128.97,15973.35,15844.38,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-100084,CUST-1122,47,Credit,Transfer,Groceries,154.59,10890.07,10735.48,11,New York,Mobile App,UPI / Wallet,0,0
TXN-100050,CUST-1059,48,Credit,Transfer,Retail,142.3,13216.71,13074.41,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-100075,CUST-1019,47,Credit,Transfer,Retail,165.91,12026.68,11860.77,11,New York,POS Terminal,Debit Card,0,0
TXN-100058,CUST-1251,48,Credit,Transfer,Retail,143.3,14295.41,14152.11,11,New York,POS Terminal,UPI / Wallet,0,0
TXN-100018,CUST-1414,48,Credit,Transfer,Retail,106.7,12590.69,12483.99,10,New York,POS Terminal,UPI / Wallet,0,0
TXN-100024,CUST-1387,48,Credit,Transfer,Retail,192.54,13333.49,13140.95,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-100099,CUST-1487,48,Credit,Transfer,Retail,116.52,12501.69,12385.17,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-100044,CUST-1224,47,Credit,Transfer,Groceries,114.54,13498.39,13383.85,12,New York,Mobile App,Debit Card,0,0
TXN-100037,CUST-1275,46,Credit,Transfer,Groceries,85.27,12595.59,12510.32,11,New York,POS Terminal,UPI / Wallet,0,0
TXN-100034,CUST-1381,46,Credit,Transfer,Retail,162.07,12119.74,11957.67,12,New York,Mobile App,Debit Card,0,0
