age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud,transaction_id,customer_id
58,Savings,Transfer,Travel,81.59,19470.65,19389.06,13,Berlin,Web Browser,Debit Card,0,0,TXN_100001,CUST_10001
28,Savings,Withdrawal,Electronics,65.6,18624.54,18558.94,6,Berlin,Web Browser,Wire Transfer,0,0,TXN_100831,CUST_10831
18,Savings,Transfer,Utilities,91.47,11831.08,11739.61,19,Mumbai,ATM,UPI / Wallet,0,0,TXN_100942,CUST_10942
40,Checking,Payment,Groceries,16.0,9935.15,9919.15,15,Singapore,ATM,Wire Transfer,0,0,TXN_100066,CUST_10066
42,Checking,Payment,Utilities,139.85,4761.15,4621.3,3,Mumbai,ATM,Debit Card,0,0,TXN_100876,CUST_10876
45,Savings,Deposit,Travel,17.08,4593.48,4576.4,13,Singapore,ATM,UPI / Wallet,0,0,TXN_100879,CUST_10879
44,Credit,Payment,Travel,214.16,23378.81,23164.65,18,Singapore,Mobile App,Debit Card,0,0,TXN_100718,CUST_10718
32,Savings,Transfer,Retail,19.13,2718.62,2699.49,1,Berlin,POS Terminal,UPI / Wallet,0,0,TXN_100300,CUST_10300
23,Checking,Payment,Electronics,100.03,11844.03,11744.0,8,Tokyo,POS Terminal,Credit Card,0,0,TXN_100483,CUST_10483
18,Checking,Transfer,Retail,67.57,11231.31,11163.74,4,Mumbai,POS Terminal,Debit Card,0,0,TXN_100573,CUST_10573
48,Checking,Transfer,Retail,132.4,4808.89,4676.49,6,Berlin,Mobile App,UPI / Wallet,0,0,TXN_100406,CUST_10406
67,Savings,Transfer,Retail,41.89,24777.46,24735.57,20,Toronto,ATM,Wire Transfer,0,1,TXN_100240,CUST_10240
20,Savings,Withdrawal,Travel,20.85,22748.81,22727.96,16,London,Mobile App,Wire Transfer,0,1,TXN_100005,CUST_10005
18,Checking,Transfer,Electronics,27.43,1873.51,1846.08,6,Mumbai,ATM,Credit Card,0,0,TXN_100720,CUST_10720
32,Checking,Deposit,Electronics,83.1,777.06,693.96,21,New York,Mobile App,Wire Transfer,0,0,TXN_100850,CUST_10850
37,Checking,Deposit,Retail,130.42,15950.17,15819.75,5,New York,POS Terminal,Credit Card,0,0,TXN_100901,CUST_10901
30,Checking,Transfer,Retail,10.89,16957.72,16946.83,17,Mumbai,Mobile App,Credit Card,0,0,TXN_100781,CUST_10781
37,Checking,Transfer,Entertainment,43.91,18116.03,18072.12,15,Singapore,Mobile App,Credit Card,0,0,TXN_100225,CUST_10225
22,Credit,Payment,Groceries,9.82,16907.58,16897.76,7,Tokyo,Web Browser,Debit Card,0,0,TXN_100137,CUST_10137
68,Checking,Payment,Travel,2.34,5827.0,5824.66,11,Tokyo,Web Browser,Debit Card,0,0,TXN_100013,CUST_10013
59,Checking,Transfer,Travel,91.7,24032.58,23940.88,19,Tokyo,POS Terminal,Wire Transfer,1,0,TXN_100241,CUST_10241
62,Checking,Payment,Retail,17.93,19972.37,19954.44,13,Berlin,Mobile App,Debit Card,0,0,TXN_100859,CUST_10859
29,Checking,Transfer,Utilities,60.06,10577.12,10667.06,20,Berlin,Web Browser,Wire Transfer,0,0,TXN_100892,CUST_10892
45,Business,Payment,Retail,43.18,27196.81,27153.63,12,Toronto,Web Browser,UPI / Wallet,0,0,TXN_100518,CUST_10518
18,Checking,Transfer,Retail,28.84,5419.2,5390.36,6,Toronto,ATM,Credit Card,0,0,TXN_100937,CUST_10937
53,Checking,Payment,Electronics,134.58,13049.99,12915.41,20,London,POS Terminal,Credit Card,1,1,TXN_100141,CUST_10141
23,Savings,Transfer,Entertainment,9.12,5207.5,5198.38,17,London,Mobile App,Credit Card,0,1,TXN_100581,CUST_10581
18,Savings,Deposit,Travel,180.89,19205.7,19024.81,19,Berlin,Mobile App,Debit Card,1,0,TXN_100700,CUST_10700
27,Checking,Transfer,Retail,82.18,17773.92,17691.74,1,Singapore,Web Browser,Credit Card,0,1,TXN_100409,CUST_10409
67,Checking,Payment,Travel,9.53,22017.18,22007.65,11,Tokyo,Mobile App,Wire Transfer,0,0,TXN_100074,CUST_10074
45,Checking,Payment,Travel,19.44,16677.13,16657.69,1,Singapore,Web Browser,UPI / Wallet,1,0,TXN_100029,CUST_10029
24,Credit,Payment,Entertainment,324.73,4915.33,4590.6,1,Mumbai,POS Terminal,Credit Card,0,0,TXN_100790,CUST_10790
32,Checking,Deposit,Groceries,99.19,7771.31,7672.12,10,Singapore,POS Terminal,UPI / Wallet,0,1,TXN_100687,CUST_10687
52,Savings,Payment,Utilities,171.29,24681.49,24510.2,9,Tokyo,Web Browser,Debit Card,0,0,TXN_100995,CUST_10995
24,Checking,Transfer,Retail,71.19,1613.14,1541.95,6,Tokyo,POS Terminal,Credit Card,0,0,TXN_100639,CUST_10639
27,Business,Payment,Travel,31.43,98.27,66.84,18,Mumbai,ATM,UPI / Wallet,0,0,TXN_100282,CUST_10282
45,Checking,Payment,Groceries,13.09,19026.71,19013.62,6,Toronto,POS Terminal,Wire Transfer,0,0,TXN_100263,CUST_10263
47,Savings,Payment,Electronics,70.88,20411.51,20340.63,4,Berlin,ATM,UPI / Wallet,0,0,TXN_100945,CUST_10945
59,Business,Transfer,Entertainment,65.38,565.63,650.25,9,Toronto,Mobile App,UPI / Wallet,0,1,TXN_100887,CUST_10887
42,Business,Transfer,Retail,77.81,21518.8,21440.99,16,Toronto,ATM,Wire Transfer,0,0,TXN_100140,CUST_10140
48,Savings,Withdrawal,Retail,100.86,8870.52,8769.66,20,Mumbai,Web Browser,Wire Transfer,1,0,TXN_100025,CUST_10025
20,Checking,Withdrawal,Retail,79.72,7603.94,7524.22,0,Singapore,POS Terminal,Wire Transfer,0,0,TXN_100757,CUST_10757
28,Checking,Payment,Groceries,6.79,8176.95,8170.16,15,New York,Web Browser,Debit Card,0,0,TXN_100102,CUST_10102
52,Business,Transfer,Travel,267.39,19207.28,18939.89,13,Mumbai,POS Terminal,Debit Card,0,0,TXN_100281,CUST_10281
24,Checking,Deposit,Groceries,22.0,9808.19,9786.19,19,Tokyo,Web Browser,Wire Transfer,0,0,TXN_100040,CUST_10040
24,Credit,Payment,Travel,67.0,7231.29,7164.29,2,New York,Mobile App,Wire Transfer,0,0,TXN_100737,CUST_10737
55,Business,Payment,Electronics,144.68,19802.27,19657.59,5,Singapore,POS Terminal,Credit Card,0,0,TXN_100714,CUST_10714
22,Savings,Transfer,Utilities,51.07,6581.17,6530.1,5,Toronto,ATM,Credit Card,0,1,TXN_100298,CUST_10298
45,Checking,Withdrawal,Entertainment,4.41,25460.89,25456.48,6,New York,ATM,Debit Card,0,0,TXN_100157,CUST_10157
64,Savings,Deposit,Retail,23.03,11865.62,11842.59,2,Tokyo,Mobile App,Debit Card,0,0,TXN_100078,CUST_10078
18,Checking,Transfer,Electronics,2.86,17459.98,17457.12,0,Berlin,Web Browser,UPI / Wallet,1,1,TXN_100172,CUST_10172
29,Credit,Transfer,Entertainment,2.29,2186.92,2184.63,9,New York,POS Terminal,UPI / Wallet,1,0,TXN_100621,CUST_10621
62,Savings,Transfer,Utilities,7.32,2000.36,1993.04,20,Mumbai,Web Browser,UPI / Wallet,0,1,TXN_100350,CUST_10350
30,Credit,Transfer,Electronics,3.09,12526.64,12673.55,0,Singapore,Mobile App,Credit Card,1,0,TXN_100251,CUST_10251
73,Savings,Transfer,Groceries,191.14,856.54,665.4,12,London,Web Browser,UPI / Wallet,0,0,TXN_100265,CUST_10265
18,Savings,Transfer,Utilities,48.63,19910.04,19861.41,5,Berlin,Web Browser,UPI / Wallet,1,0,TXN_100697,CUST_10697
18,Savings,Transfer,Utilities,144.9,1486.64,1341.74,11,Mumbai,POS Terminal,UPI / Wallet,1,0,TXN_100801,CUST_10801
20,Credit,Payment,Travel,169.4,11600.79,11431.39,8,Toronto,Web Browser,Debit Card,0,0,TXN_100206,CUST_10206
49,Checking,Payment,Entertainment,7.39,11010.44,11003.05,15,Berlin,Web Browser,Wire Transfer,0,0,TXN_100708,CUST_10708
39,Credit,Transfer,Utilities,27.2,11586.48,11559.28,3,Mumbai,Web Browser,Debit Card,0,0,TXN_100535,CUST_10535
18,Business,Withdrawal,Entertainment,190.12,24240.59,24050.47,8,Singapore,ATM,Debit Card,0,0,TXN_100175,CUST_10175
45,Savings,Transfer,Travel,96.65,8929.24,8832.59,23,Berlin,Mobile App,Credit Card,1,0,TXN_100509,CUST_10509
18,Checking,Transfer,Retail,28.98,1341.62,1312.64,14,Berlin,POS Terminal,Credit Card,0,0,TXN_100309,CUST_10309
33,Checking,Deposit,Retail,1.31,19058.98,19057.67,3,Mumbai,Web Browser,Wire Transfer,0,1,TXN_100311,CUST_10311
29,Savings,Payment,Entertainment,184.39,6418.09,6233.7,23,Tokyo,ATM,UPI / Wallet,0,1,TXN_100144,CUST_10144
69,Checking,Transfer,Travel,4.62,12610.27,12605.65,11,Tokyo,POS Terminal,Credit Card,0,0,TXN_100638,CUST_10638
64,Savings,Transfer,Travel,68.12,10234.04,10165.92,2,London,Web Browser,Credit Card,0,0,TXN_100558,CUST_10558
18,Savings,Payment,Utilities,24.93,963.42,938.49,20,Tokyo,Mobile App,Wire Transfer,0,0,TXN_100571,CUST_10571
32,Credit,Payment,Groceries,40.37,22485.82,22445.45,5,Singapore,POS Terminal,UPI / Wallet,0,0,TXN_100590,CUST_10590
55,Business,Deposit,Travel,11.1,5357.48,5346.38,5,Tokyo,POS Terminal,Wire Transfer,0,0,TXN_100986,CUST_10986
21,Savings,Payment,Groceries,79.47,21235.76,21156.29,0,Singapore,Web Browser,UPI / Wallet,1,0,TXN_100743,CUST_10743
76,Credit,Transfer,Utilities,2.28,8250.27,8247.99,4,Mumbai,ATM,UPI / Wallet,1,0,TXN_100532,CUST_10532
31,Credit,Transfer,Entertainment,59.98,19329.5,19269.52,7,Berlin,ATM,UPI / Wallet,0,0,TXN_100323,CUST_10323
22,Savings,Deposit,Travel,41.61,21344.61,21303.0,20,Tokyo,ATM,UPI / Wallet,0,0,TXN_100789,CUST_10789
40,Checking,Payment,Retail,50.8,19930.72,19879.92,17,Mumbai,Web Browser,Credit Card,0,0,TXN_100634,CUST_10634
25,Checking,Payment,Retail,105.63,9943.46,9837.83,21,Singapore,Web Browser,Debit Card,0,0,TXN_100759,CUST_10759
18,Checking,Withdrawal,Travel,84.75,14099.77,14015.02,6,London,ATM,Debit Card,1,0,TXN_100041,CUST_10041
18,Checking,Transfer,Travel,18.93,5197.36,5178.43,14,Singapore,ATM,Wire Transfer,0,0,TXN_100014,CUST_10014
27,Business,Transfer,Travel,130.85,22828.13,22697.28,1,London,Mobile App,UPI / Wallet,0,0,TXN_100158,CUST_10158
18,Checking,Transfer,Entertainment,9.94,1963.74,1953.8,21,Tokyo,POS Terminal,UPI / Wallet,0,1,TXN_100526,CUST_10526
19,Credit,Transfer,Travel,278.65,5535.78,5257.13,6,Berlin,Web Browser,Wire Transfer,0,0,TXN_100002,CUST_10002
29,Checking,Transfer,Entertainment,27.32,5598.16,5570.84,19,London,Web Browser,Debit Card,0,0,TXN_100635,CUST_10635
30,Credit,Transfer,Utilities,131.52,4199.86,4068.34,17,Tokyo,Mobile App,Debit Card,0,0,TXN_100439,CUST_10439
18,Savings,Payment,Electronics,166.81,897.19,730.38,3,Singapore,ATM,UPI / Wallet,0,0,TXN_100681,CUST_10681
51,Checking,Deposit,Entertainment,77.28,26494.37,26417.09,6,Singapore,POS Terminal,UPI / Wallet,0,0,TXN_100178,CUST_10178
40,Savings,Withdrawal,Utilities,90.61,14008.7,13918.09,19,New York,Mobile App,Credit Card,0,0,TXN_100735,CUST_10735
18,Checking,Withdrawal,Travel,1.62,18812.02,18810.4,21,Singapore,Web Browser,UPI / Wallet,0,0,TXN_100291,CUST_10291
26,Checking,Deposit,Retail,17.8,5328.14,5310.34,14,Mumbai,Web Browser,Debit Card,0,0,TXN_100380,CUST_10380
33,Savings,Withdrawal,Retail,28.84,357.34,328.5,0,Mumbai,Mobile App,Wire Transfer,1,0,TXN_100691,CUST_10691
25,Savings,Payment,Electronics,251.23,578.43,477.2,18,Berlin,POS Terminal,Debit Card,1,0,TXN_100426,CUST_10426
36,Checking,Withdrawal,Groceries,297.42,2017.59,1720.17,2,Singapore,Mobile App,Credit Card,1,0,TXN_100550,CUST_10550
24,Checking,Payment,Retail,21.97,21131.24,21109.27,15,Singapore,Mobile App,Credit Card,0,0,TXN_100145,CUST_10145
19,Savings,Transfer,Groceries,345.61,106.8,0.0,4,New York,Mobile App,Debit Card,0,0,TXN_100387,CUST_10387
19,Savings,Withdrawal,Retail,299.98,1740.51,1440.53,14,Singapore,POS Terminal,UPI / Wallet,0,0,TXN_100197,CUST_10197
28,Savings,Withdrawal,Entertainment,27.33,424.83,397.5,16,London,Web Browser,Debit Card,0,0,TXN_100644,CUST_10644
23,Savings,Payment,Groceries,3.85,15948.74,15944.89,19,Singapore,Mobile App,Wire Transfer,0,0,TXN_100582,CUST_10582
38,Credit,Payment,Retail,75.73,19784.53,19708.8,7,Toronto,POS Terminal,Credit Card,0,0,TXN_100244,CUST_10244
59,Checking,Withdrawal,Entertainment,127.06,5999.37,5872.31,8,Tokyo,Web Browser,Debit Card,1,0,TXN_100313,CUST_10313
64,Savings,Payment,Travel,149.69,11158.52,11158.83,10,Toronto,ATM,Debit Card,0,1,TXN_100279,CUST_10279
50,Credit,Transfer,Utilities,71.18,20282.15,20210.97,4,Tokyo,Web Browser,Credit Card,0,0,TXN_100747,CUST_10747
26,Checking,Transfer,Groceries,34.94,13325.4,13290.46,0,Singapore,Web Browser,Debit Card,0,0,TXN_100427,CUST_10427
52,Checking,Transfer,Groceries,75.34,25305.17,25229.83,23,London,Web Browser,Debit Card,0,1,TXN_100623,CUST_10623
49,Business,Payment,Travel,100.13,23070.35,22970.22,20,Toronto,ATM,Wire Transfer,0,1,TXN_100812,CUST_10812
30,Credit,Deposit,Electronics,4.28,6588.07,6583.79,19,Mumbai,ATM,UPI / Wallet,0,1,TXN_100594,CUST_10594
23,Business,Transfer,Entertainment,12.31,9703.03,9690.72,3,London,POS Terminal,Credit Card,0,0,TXN_100037,CUST_10037
28,Credit,Transfer,Travel,7.9,2431.0,2423.1,14,Singapore,ATM,UPI / Wallet,0,0,TXN_100780,CUST_10780
41,Checking,Transfer,Utilities,75.47,1097.88,1022.41,7,London,POS Terminal,Credit Card,0,0,TXN_100268,CUST_10268
35,Savings,Deposit,Travel,26.99,19286.5,19259.51,9,New York,POS Terminal,Credit Card,0,0,TXN_100852,CUST_10852
18,Checking,Transfer,Retail,7.0,22554.27,22547.27,14,New York,Web Browser,UPI / Wallet,0,0,TXN_100065,CUST_10065
46,Savings,Transfer,Groceries,1.78,16753.39,16751.61,8,Toronto,POS Terminal,UPI / Wallet,1,0,TXN_100830,CUST_10830
27,Savings,Transfer,Retail,54.23,987.18,932.95,20,Mumbai,ATM,Debit Card,0,0,TXN_100223,CUST_10223
51,Credit,Transfer,Retail,116.16,23427.66,23311.5,11,London,POS Terminal,Debit Card,0,0,TXN_100543,CUST_10543
26,Credit,Withdrawal,Retail,96.42,3333.98,3387.56,15,Tokyo,POS Terminal,Wire Transfer,0,0,TXN_100316,CUST_10316
20,Checking,Deposit,Travel,23.53,22718.74,22695.21,6,New York,Mobile App,Credit Card,0,0,TXN_100836,CUST_10836
18,Business,Deposit,Utilities,67.62,966.78,899.16,23,London,ATM,Debit Card,1,0,TXN_100953,CUST_10953
18,Savings,Transfer,Electronics,120.78,1857.73,1736.95,20,London,Web Browser,Wire Transfer,0,0,TXN_100704,CUST_10704
44,Savings,Withdrawal,Travel,106.85,25879.48,25772.63,23,Toronto,Web Browser,Credit Card,0,0,TXN_100531,CUST_10531
62,Checking,Transfer,Travel,40.03,4500.99,4460.96,10,Mumbai,ATM,UPI / Wallet,0,0,TXN_100385,CUST_10385
18,Business,Withdrawal,Utilities,34.27,18551.71,18517.44,11,Mumbai,POS Terminal,UPI / Wallet,0,0,TXN_100586,CUST_10586
45,Credit,Withdrawal,Entertainment,40.54,9501.21,9460.67,10,London,ATM,Wire Transfer,0,1,TXN_100073,CUST_10073
37,Credit,Payment,Electronics,27.72,3405.55,3377.83,5,Singapore,Mobile App,UPI / Wallet,0,0,TXN_100101,CUST_10101
28,Checking,Deposit,Electronics,11.49,8003.59,7992.1,12,Singapore,Web Browser,UPI / Wallet,0,0,TXN_100967,CUST_10967
62,Checking,Transfer,Retail,106.51,22641.85,22535.34,17,Toronto,Web Browser,UPI / Wallet,0,0,TXN_100443,CUST_10443
18,Checking,Transfer,Travel,3.87,21589.46,21585.59,21,Tokyo,Web Browser,Debit Card,1,0,TXN_100442,CUST_10442
59,Checking,Transfer,Travel,66.32,19255.7,19339.38,19,Mumbai,ATM,Debit Card,0,0,TXN_100721,CUST_10721
37,Savings,Payment,Retail,390.84,15106.89,14716.05,16,New York,Web Browser,Credit Card,0,0,TXN_100411,CUST_10411
44,Credit,Transfer,Retail,45.48,2199.88,2154.4,18,Berlin,Mobile App,UPI / Wallet,0,0,TXN_100895,CUST_10895
21,Checking,Transfer,Utilities,108.05,11851.62,11743.57,6,New York,POS Terminal,Credit Card,0,0,TXN_100095,CUST_10095
48,Business,Withdrawal,Entertainment,128.8,988.44,859.64,18,Mumbai,Mobile App,Credit Card,0,0,TXN_100618,CUST_10618
35,Savings,Transfer,Electronics,11.83,20399.85,20388.02,16,Tokyo,ATM,Wire Transfer,0,0,TXN_100393,CUST_10393
24,Savings,Payment,Entertainment,124.63,1387.76,1263.13,6,Toronto,Web Browser,UPI / Wallet,0,0,TXN_100904,CUST_10904
28,Credit,Transfer,Travel,7.93,16524.81,16516.88,2,Mumbai,Web Browser,Debit Card,0,0,TXN_100565,CUST_10565
18,Savings,Transfer,Entertainment,29.27,13630.15,13600.88,20,Toronto,ATM,Credit Card,0,0,TXN_100524,CUST_10524
61,Checking,Transfer,Groceries,89.33,21378.7,21289.37,8,Berlin,Mobile App,Debit Card,0,0,TXN_100278,CUST_10278
18,Savings,Payment,Entertainment,120.62,22617.91,22497.29,20,New York,ATM,UPI / Wallet,0,0,TXN_100777,CUST_10777
71,Savings,Payment,Groceries,34.07,1296.55,1412.48,15,New York,ATM,UPI / Wallet,0,0,TXN_100246,CUST_10246
63,Savings,Transfer,Utilities,8.78,5668.15,5659.37,15,New York,Mobile App,Credit Card,0,0,TXN_100110,CUST_10110
63,Credit,Transfer,Travel,5.44,3152.71,3147.27,10,Tokyo,POS Terminal,UPI / Wallet,0,0,TXN_100834,CUST_10834
26,Checking,Deposit,Travel,34.5,390.34,355.84,16,London,ATM,Wire Transfer,0,0,TXN_100445,CUST_10445
44,Savings,Payment,Electronics,9.47,229.18,219.71,15,Mumbai,Web Browser,Debit Card,0,0,TXN_100318,CUST_10318
29,Savings,Transfer,Utilities,18.32,50.72,32.4,19,Singapore,Mobile App,UPI / Wallet,0,0,TXN_100042,CUST_10042
18,Credit,Payment,Electronics,133.83,6906.67,6772.84,2,Toronto,POS Terminal,Credit Card,0,0,TXN_100274,CUST_10274
41,Savings,Payment,Groceries,848.27,1416.53,568.26,22,Tokyo,Web Browser,UPI / Wallet,0,0,TXN_100466,CUST_10466
18,Checking,Payment,Travel,70.21,19150.33,19080.12,4,Berlin,ATM,UPI / Wallet,0,0,TXN_100083,CUST_10083
23,Savings,Deposit,Retail,56.95,22840.37,22783.42,16,Toronto,POS Terminal,Debit Card,1,0,TXN_100630,CUST_10630
54,Savings,Transfer,Travel,121.08,2002.24,1881.16,19,Berlin,Mobile App,UPI / Wallet,1,0,TXN_100124,CUST_10124
18,Checking,Deposit,Entertainment,18.29,19785.62,19767.33,9,Tokyo,Mobile App,Wire Transfer,1,0,TXN_100968,CUST_10968
20,Business,Transfer,Retail,8.44,2115.75,2107.31,4,Toronto,ATM,Wire Transfer,0,0,TXN_100287,CUST_10287
41,Credit,Payment,Electronics,17.3,9054.77,9037.47,15,Mumbai,Web Browser,UPI / Wallet,0,0,TXN_100679,CUST_10679
30,Business,Transfer,Travel,191.07,20339.24,20148.17,3,Toronto,Web Browser,Credit Card,0,0,TXN_100888,CUST_10888
26,Business,Transfer,Utilities,338.05,1994.54,1656.49,0,Toronto,Mobile App,UPI / Wallet,0,0,TXN_100783,CUST_10783
48,Checking,Withdrawal,Utilities,116.17,2611.64,2495.47,6,Singapore,Mobile App,Debit Card,0,0,TXN_100107,CUST_10107
21,Checking,Transfer,Entertainment,13.46,10940.94,10927.48,23,Berlin,POS Terminal,Debit Card,0,0,TXN_100864,CUST_10864
23,Savings,Deposit,Travel,84.41,13814.92,13730.51,23,Tokyo,Web Browser,Debit Card,0,0,TXN_100162,CUST_10162
18,Checking,Payment,Travel,13.65,8233.82,8220.17,17,Singapore,Web Browser,Credit Card,0,0,TXN_100765,CUST_10765
23,Savings,Transfer,Electronics,25.51,24071.55,24046.04,4,Toronto,Web Browser,UPI / Wallet,0,0,TXN_100383,CUST_10383
28,Checking,Payment,Entertainment,96.66,1593.59,1496.93,21,Singapore,Mobile App,UPI / Wallet,0,1,TXN_100576,CUST_10576
23,Checking,Withdrawal,Travel,97.72,2074.23,1976.51,4,Singapore,POS Terminal,UPI / Wallet,0,1,TXN_100226,CUST_10226
18,Checking,Transfer,Groceries,33.55,3359.38,3325.83,9,Tokyo,Web Browser,UPI / Wallet,0,0,TXN_100027,CUST_10027
40,Credit,Payment,Retail,5.49,15935.53,15930.04,22,New York,ATM,UPI / Wallet,0,0,TXN_100719,CUST_10719
31,Checking,Withdrawal,Travel,39.18,19265.13,19375.95,8,Singapore,Mobile App,UPI / Wallet,0,0,TXN_100181,CUST_10181
18,Checking,Payment,Groceries,4.17,5370.93,5366.76,18,New York,ATM,Wire Transfer,0,0,TXN_100057,CUST_10057
36,Checking,Payment,Utilities,19.02,1061.09,1042.07,9,Berlin,POS Terminal,Debit Card,0,0,TXN_100269,CUST_10269
56,Checking,Payment,Groceries,55.11,10318.5,10263.39,16,Singapore,ATM,Wire Transfer,0,0,TXN_100193,CUST_10193
18,Business,Payment,Electronics,21.63,25729.45,25707.82,10,New York,Web Browser,Credit Card,0,0,TXN_100256,CUST_10256
18,Savings,Deposit,Entertainment,110.98,3645.75,3534.77,17,Singapore,Mobile App,Wire Transfer,0,0,TXN_100166,CUST_10166
60,Savings,Payment,Electronics,297.34,16287.85,15990.51,1,Mumbai,POS Terminal,Credit Card,0,1,TXN_100009,CUST_10009
22,Savings,Payment,Electronics,13.36,9503.57,9490.21,2,London,Mobile App,Credit Card,0,0,TXN_100770,CUST_10770
28,Checking,Payment,Utilities,28.37,19961.71,19933.34,11,Tokyo,ATM,Debit Card,0,0,TXN_100043,CUST_10043
34,Savings,Payment,Utilities,246.03,21499.39,21253.36,15,New York,Web Browser,Debit Card,0,0,TXN_100910,CUST_10910
30,Savings,Payment,Retail,60.93,18053.44,17992.51,15,Toronto,Mobile App,Credit Card,1,0,TXN_100358,CUST_10358
37,Checking,Deposit,Travel,41.79,2979.66,2937.87,6,Berlin,Web Browser,Credit Card,1,0,TXN_100211,CUST_10211
43,Credit,Withdrawal,Electronics,180.14,16832.01,16651.87,19,Singapore,ATM,Credit Card,0,0,TXN_100564,CUST_10564
18,Savings,Payment,Travel,98.04,11113.58,11015.54,18,Singapore,Mobile App,Debit Card,0,0,TXN_100213,CUST_10213
66,Credit,Transfer,Entertainment,22.07,1800.8,1778.73,19,London,ATM,UPI / Wallet,1,0,TXN_100869,CUST_10869
18,Checking,Transfer,Travel,143.01,15865.24,15722.23,1,Singapore,POS Terminal,Credit Card,1,0,TXN_100047,CUST_10047
32,Savings,Payment,Retail,18.51,1038.61,1020.1,20,Tokyo,ATM,Credit Card,0,0,TXN_100627,CUST_10627
23,Credit,Payment,Utilities,108.07,19063.44,18955.37,19,Singapore,ATM,UPI / Wallet,0,1,TXN_100322,CUST_10322
